FIPS,County,Site,Sex,Rate,Unstable Rate,Count,Pop,Lower CI,Upper CI
27089,Marshall County,All Malignant Cancers,All,131.6,,102,"46,856",106.5,161.9
27091,Martin County,All Malignant Cancers,All,163.9,,288,"99,241",144.4,185.8
27085,McLeod County,All Malignant Cancers,All,138.8,,355,"179,038",124.5,154.5
27093,Meeker County,All Malignant Cancers,All,154.5,,268,"115,454",136,175
27095,Mille Lacs County,All Malignant Cancers,All,186.6,,327,"129,150",166.5,208.6
27097,Morrison County,All Malignant Cancers,All,156.9,,387,"165,179",141.3,174
27099,Mower County,All Malignant Cancers,All,155,,450,"199,003",140.5,170.8
27101,Murray County,All Malignant Cancers,All,135,,103,"41,476",108.6,167.1
27103,Nicollet County,All Malignant Cancers,All,141.7,,296,"169,937",125.8,159.3
27105,Nobles County,All Malignant Cancers,All,154.4,,216,"108,690",134,177.3
27107,Norman County,All Malignant Cancers,All,155.9,,88,"32,617",123.8,195.4
27109,Olmsted County,All Malignant Cancers,All,124,,"1,154","774,422",116.8,131.5
27111,Otter Tail County,All Malignant Cancers,All,140.6,,713,"290,878",130,152
27113,Pennington County,All Malignant Cancers,All,144.9,,143,"70,936",121.4,172
27115,Pine County,All Malignant Cancers,All,163.9,,368,"145,962",147.3,182.2
27117,Pipestone County,All Malignant Cancers,All,158.3,,124,"45,998",130.4,191.3
27119,Polk County,All Malignant Cancers,All,168.4,,374,"157,541",151.2,187.2
27121,Pope County,All Malignant Cancers,All,131.8,,121,"55,190",107.7,160.5
27123,Ramsey County,All Malignant Cancers,All,148.4,,"4,497","2,721,924",144,152.9
27125,Red Lake County,All Malignant Cancers,All,161,,46,"20,005",116,219.6
27127,Redwood County,All Malignant Cancers,All,136.9,,170,"76,311",116.2,160.8
27129,Renville County,All Malignant Cancers,All,153.2,,183,"73,256",130.8,178.9
27131,Rice County,All Malignant Cancers,All,143.6,,560,"330,996",131.8,156.2
27133,Rock County,All Malignant Cancers,All,154,,117,"47,087",126.4,186.8
27135,Roseau County,All Malignant Cancers,All,122.5,,129,"76,797",101.8,146.5
27139,Scott County,All Malignant Cancers,All,140.9,,877,"726,689",131.4,150.8
27141,Sherburne County,All Malignant Cancers,All,152,,645,"472,706",140.1,164.6
27143,Sibley County,All Malignant Cancers,All,172.7,,182,"74,533",147.8,201
27137,St. Louis County,All Malignant Cancers,All,161,,"2,302","999,340",154.2,168
27145,Stearns County,All Malignant Cancers,All,145.6,,"1,319","792,969",137.7,153.8
27147,Steele County,All Malignant Cancers,All,132.5,,329,"183,583",118.2,148.1
27149,Stevens County,All Malignant Cancers,All,126.7,,81,"48,973",99.4,159.8
27151,Swift County,All Malignant Cancers,All,161.5,,123,"46,859",132.4,195.8
27153,Todd County,All Malignant Cancers,All,130.8,,254,"122,603",114.9,148.7
27155,Traverse County,All Malignant Cancers,All,144.7,,52,"16,563",106.4,197.4
27157,Wabasha County,All Malignant Cancers,All,147.5,,257,"107,571",129.7,167.4
27159,Wadena County,All Malignant Cancers,All,180.3,,200,"68,260",155,209.1
27161,Waseca County,All Malignant Cancers,All,144.5,,186,"93,673",123.9,167.9
27163,Washington County,All Malignant Cancers,All,144.2,,"2,053","1,280,364",137.9,150.7
27165,Watonwan County,All Malignant Cancers,All,143.3,,119,"54,736",117.1,174.1
27167,Wilkin County,All Malignant Cancers,All,183.6,,87,"31,526",146,229.1
27169,Winona County,All Malignant Cancers,All,154.6,,496,"254,094",140.8,169.4
27171,Wright County,All Malignant Cancers,All,150.4,,985,"672,714",141,160.3
27173,Yellow Medicine County,All Malignant Cancers,All,149.8,,122,"49,140",123,181.7
27001,Aitkin County,All Malignant Cancers,Female,134.4,,110,"39,128",107,168.9
27003,Anoka County,All Malignant Cancers,Female,134.9,,"1,377","876,421",127.7,142.4
27005,Becker County,All Malignant Cancers,Female,112.7,,154,"85,294",95,133.2
27007,Beltrami County,All Malignant Cancers,Female,133,,197,"116,339",114.4,153.8
27009,Benton County,All Malignant Cancers,Female,130.7,,168,"100,402",110.8,153.3
27011,Big Stone County,All Malignant Cancers,Female,106.5,,32,"12,528",69.7,164
27013,Blue Earth County,All Malignant Cancers,Female,112.2,,234,"165,980",97.7,128.5
27015,Brown County,All Malignant Cancers,Female,113.7,,134,"63,055",93.6,137.6
27017,Carlton County,All Malignant Cancers,Female,133.2,,176,"84,870",113.8,155.6
27019,Carver County,All Malignant Cancers,Female,109.7,,296,"256,700",97.3,123.4
27021,Cass County,All Malignant Cancers,Female,130.9,,162,"71,464",110,155.2
27023,Chippewa County,All Malignant Cancers,Female,164.1,,89,"29,984",129,207.3
27025,Chisago County,All Malignant Cancers,Female,139.8,,244,"133,632",122.5,159.1
27027,Clay County,All Malignant Cancers,Female,138.9,,250,"160,868",121.6,158
27029,Clearwater County,All Malignant Cancers,Female,136.9,,49,"21,795",100.2,185
27031,Cook County,All Malignant Cancers,Female,130.9,,31,"13,441",84.1,199.9
27033,Cottonwood County,All Malignant Cancers,Female,127.3,,69,"28,371",96.8,166.2
27035,Crow Wing County,All Malignant Cancers,Female,125.6,,343,"161,278",112.1,140.6
27037,Dakota County,All Malignant Cancers,Female,126.1,,"1,596","1,069,198",119.9,132.6
27039,Dodge County,All Malignant Cancers,Female,125.1,,80,"51,604",98.7,156.8
27041,Douglas County,All Malignant Cancers,Female,136,,217,"93,584",117,157.5
27043,Faribault County,All Malignant Cancers,Female,148.3,,98,"34,562",118.2,185.4
27045,Fillmore County,All Malignant Cancers,Female,121.9,,116,"52,150",98.9,149.5
27047,Freeborn County,All Malignant Cancers,Female,127.9,,180,"76,320",108.8,150
27049,Goodhue County,All Malignant Cancers,Female,124.5,,243,"116,296",108.6,142.5
27051,Grant County,All Malignant Cancers,Female,97.4,,24,"14,747",57.9,156.7
27053,Hennepin County,All Malignant Cancers,Female,122.9,,"4,688","3,151,007",119.3,126.6
27055,Houston County,All Malignant Cancers,Female,104,,87,"46,781",82.6,130.5
27057,Hubbard County,All Malignant Cancers,Female,128.9,,115,"51,923",104.8,157.9
27059,Isanti County,All Malignant Cancers,Female,136.2,,176,"97,227",116.3,158.6
27061,Itasca County,All Malignant Cancers,Female,151.3,,289,"111,792",133.4,171.4
27063,Jackson County,All Malignant Cancers,Female,123.5,,56,"24,327",89.9,167.6
27065,Kanabec County,All Malignant Cancers,Female,106.3,,66,"39,828",81.2,137.9
27067,Kandiyohi County,All Malignant Cancers,Female,140.9,,221,"106,512",121.9,162.3
27069,Kittson County,All Malignant Cancers,Female,143.4,,31,"10,755",91.2,221.2
27071,Koochiching County,All Malignant Cancers,Female,149.9,,92,"31,214",119.5,188.2
27073,Lac qui Parle County,All Malignant Cancers,Female,152.2,,50,"16,692",106.5,214.8
27075,Lake County,All Malignant Cancers,Female,117.3,,57,"25,827",86,158.9
27077,Lake of the Woods County,All Malignant Cancers,Female,93.3,,16,"9,066",52.3,165.5
27079,Le Sueur County,All Malignant Cancers,Female,126.7,,128,"69,999",105.2,151.7
27081,Lincoln County,All Malignant Cancers,Female,156,,43,"13,946",108.3,222.3
27083,Lyon County,All Malignant Cancers,Female,138.8,,127,"64,892",114.4,167.3
27087,Mahnomen County,All Malignant Cancers,Female,178.4,,36,"13,651",123.6,252.4
27089,Marshall County,All Malignant Cancers,Female,113.1,,44,"23,125",80.4,156.8
27091,Martin County,All Malignant Cancers,Female,139.6,,129,"50,054",114.4,169.7
27085,McLeod County,All Malignant Cancers,Female,124.8,,171,"89,606",106.1,146.2
27093,Meeker County,All Malignant Cancers,Female,130.8,,122,"56,668",107.7,158.1
27095,Mille Lacs County,All Malignant Cancers,Female,146.5,,140,"64,283",122.6,174.3
27097,Morrison County,All Malignant Cancers,Female,126.8,,166,"81,746",107.4,149.1
27099,Mower County,All Malignant Cancers,Female,135.7,,220,"99,184",117.1,156.8
27101,Murray County,All Malignant Cancers,Female,117.6,,48,"20,794",83.4,164.1
27103,Nicollet County,All Malignant Cancers,Female,117.2,,133,"84,318",97.6,139.8
27105,Nobles County,All Malignant Cancers,Female,130.1,,96,"52,684",104,161.3
27107,Norman County,All Malignant Cancers,Female,110.1,,32,"16,215",72.7,163.6
27109,Olmsted County,All Malignant Cancers,Female,104.3,,544,"396,367",95.5,113.7
27111,Otter Tail County,All Malignant Cancers,Female,120.3,,322,"144,462",106.5,135.6
27113,Pennington County,All Malignant Cancers,Female,145.1,,78,"35,646",113.1,184.2
27115,Pine County,All Malignant Cancers,Female,129.8,,149,"67,827",109.2,153.8
27117,Pipestone County,All Malignant Cancers,Female,124.2,,55,"23,530",91.2,167.6
27119,Polk County,All Malignant Cancers,Female,139.4,,173,"78,361",118.2,163.8
27121,Pope County,All Malignant Cancers,Female,116.6,,55,"26,991",84.4,158.8
27123,Ramsey County,All Malignant Cancers,Female,131.7,,"2,289","1,395,268",126.1,137.4
27125,Red Lake County,All Malignant Cancers,Female,136.1,,20,"9,839",81.3,219.1
27127,Redwood County,All Malignant Cancers,Female,125.8,,80,"38,226",97.3,161
27129,Renville County,All Malignant Cancers,Female,128.2,,79,"36,057",100,163.3
27131,Rice County,All Malignant Cancers,Female,135.3,,280,"162,226",119.5,152.8
27133,Rock County,All Malignant Cancers,Female,131.2,,56,"23,883",96.9,175.7
27135,Roseau County,All Malignant Cancers,Female,107.4,,63,"37,319",81.2,140.5
27139,Scott County,All Malignant Cancers,Female,126.1,,426,"364,400",114.2,139
27141,Sherburne County,All Malignant Cancers,Female,129.7,,292,"230,437",114.9,145.9
27143,Sibley County,All Malignant Cancers,Female,150.8,,86,"36,894",119.3,189
27137,St. Louis County,All Malignant Cancers,Female,133.8,,"1,038","498,004",125.4,142.7
27145,Stearns County,All Malignant Cancers,Female,121.3,,585,"393,447",111.4,131.8
27147,Steele County,All Malignant Cancers,Female,115.1,,156,"92,269",97,135.9
27149,Stevens County,All Malignant Cancers,Female,94.5,,33,"24,481",62.4,138.7
27151,Swift County,All Malignant Cancers,Female,122.1,,49,"23,255",85.5,170.5
27153,Todd County,All Malignant Cancers,Female,96.9,,98,"59,573",78.1,119.7
27155,Traverse County,All Malignant Cancers,Female,92.3,,19,"8,215",52,166
27157,Wabasha County,All Malignant Cancers,Female,129.1,,117,"53,803",106.2,156.4
27159,Wadena County,All Malignant Cancers,Female,160.2,,93,"34,359",126.2,201.7
27161,Waseca County,All Malignant Cancers,Female,140,,99,"48,819",112.7,172.4
27163,Washington County,All Malignant Cancers,Female,126.6,,990,"647,259",118.7,135
27165,Watonwan County,All Malignant Cancers,Female,146.5,,62,"27,528",109.5,193.2
27167,Wilkin County,All Malignant Cancers,Female,147.7,,36,"15,202",101.8,210.6
27169,Winona County,All Malignant Cancers,Female,136.1,,233,"128,066",118.2,156.1
27171,Wright County,All Malignant Cancers,Female,132.7,,468,"333,313",120.7,145.5
27173,Yellow Medicine County,All Malignant Cancers,Female,115.7,,48,"24,379",82.9,159.2
27001,Aitkin County,All Malignant Cancers,Male,181.2,,164,"40,009",152.9,215.7
27003,Anoka County,All Malignant Cancers,Male,176.3,,"1,463","876,776",167,186.1
27005,Becker County,All Malignant Cancers,Male,187,,223,"84,842",162.6,214.2
27007,Beltrami County,All Malignant Cancers,Male,177.9,,218,"115,769",154.7,203.8
27009,Benton County,All Malignant Cancers,Male,179.4,,176,"100,455",153.3,208.6
27011,Big Stone County,All Malignant Cancers,Male,219.6,,48,"12,411",156.8,303.8
27013,Blue Earth County,All Malignant Cancers,Male,179.8,,280,"168,321",159,202.7
27015,Brown County,All Malignant Cancers,Male,212.8,,195,"62,725",183.2,246.3
27017,Carlton County,All Malignant Cancers,Male,193.2,,207,"93,307",167.2,222.1
27019,Carver County,All Malignant Cancers,Male,151.9,,331,"253,152",135.2,170.1
27021,Cass County,All Malignant Cancers,Male,196.7,,250,"74,621",171.8,224.9
27023,Chippewa County,All Malignant Cancers,Male,205.4,,88,"29,703",163.6,255.8
27025,Chisago County,All Malignant Cancers,Male,173.4,,260,"142,936",152.3,196.6
27027,Clay County,All Malignant Cancers,Male,171.9,,257,"156,821",151.2,194.6
27029,Clearwater County,All Malignant Cancers,Male,194.1,,61,"22,337",147.6,252.2
27031,Cook County,All Malignant Cancers,Male,191.4,,41,"13,396",134,270
27033,Cottonwood County,All Malignant Cancers,Male,167.2,,77,"28,211",130.6,212.4
27035,Crow Wing County,All Malignant Cancers,Male,201.4,,475,"160,206",183.1,221.2
27037,Dakota County,All Malignant Cancers,Male,160.5,,"1,579","1,039,595",152.4,168.9
27039,Dodge County,All Malignant Cancers,Male,187.4,,102,"51,859",152.2,228.4
27041,Douglas County,All Malignant Cancers,Male,186.7,,266,"93,978",164.4,211.6
27043,Faribault County,All Malignant Cancers,Male,191.1,,100,"34,449",153.8,235.8
27045,Fillmore County,All Malignant Cancers,Male,181.9,,133,"52,609",151.5,217.1
27047,Freeborn County,All Malignant Cancers,Male,183.1,,210,"76,161",158.6,210.8
27049,Goodhue County,All Malignant Cancers,Male,201.4,,306,"115,121",179,226
27051,Grant County,All Malignant Cancers,Male,193.8,,47,"14,903",140.2,264.4
27053,Hennepin County,All Malignant Cancers,Male,167.2,,"4,929","3,079,931",162.4,172.1
27055,Houston County,All Malignant Cancers,Male,157.7,,106,"46,634",128,192.9
27057,Hubbard County,All Malignant Cancers,Male,184.1,,165,"53,374",155.8,217.1
27059,Isanti County,All Malignant Cancers,Male,186.8,,207,"99,647",161.5,215
27061,Itasca County,All Malignant Cancers,Male,198.1,,346,"114,108",177,221.3
27063,Jackson County,All Malignant Cancers,Male,195,,76,"25,366",152.8,247
27065,Kanabec County,All Malignant Cancers,Male,171.8,,101,"40,677",138.6,211.5
27067,Kandiyohi County,All Malignant Cancers,Male,157.5,,207,"107,532",136.4,181.1
27069,Kittson County,All Malignant Cancers,Male,143.9,,25,"10,801",91.1,222
27071,Koochiching County,All Malignant Cancers,Male,163,,90,"31,302",129.9,204
27073,Lac qui Parle County,All Malignant Cancers,Male,112.4,,38,"16,881",79.1,160.3
27075,Lake County,All Malignant Cancers,Male,168.2,,87,"26,929",133.7,211.5
27077,Lake of the Woods County,All Malignant Cancers,Male,168.7,,24,"9,783",105.3,262.5
27079,Le Sueur County,All Malignant Cancers,Male,212.1,,173,"71,147",180.8,247.4
27081,Lincoln County,All Malignant Cancers,Male,173.5,,44,"14,398",123.1,241.3
27083,Lyon County,All Malignant Cancers,Male,184.8,,131,"64,143",154.1,220.1
27087,Mahnomen County,All Malignant Cancers,Male,232.7,,40,"13,844",164.8,321.2
27089,Marshall County,All Malignant Cancers,Male,154.2,,58,"23,731",116.2,202.7
27091,Martin County,All Malignant Cancers,Male,198.4,,159,"49,187",167.9,233.8
27085,McLeod County,All Malignant Cancers,Male,159.3,,184,"89,432",136.9,184.7
27093,Meeker County,All Malignant Cancers,Male,180.8,,146,"58,786",152,214
27095,Mille Lacs County,All Malignant Cancers,Male,238.1,,187,"64,867",204.5,276
27097,Morrison County,All Malignant Cancers,Male,194.3,,221,"83,433",169,222.6
27099,Mower County,All Malignant Cancers,Male,180.3,,230,"99,819",157.3,206
27101,Murray County,All Malignant Cancers,Male,152.3,,55,"20,682",113.4,203.2
27103,Nicollet County,All Malignant Cancers,Male,174.7,,163,"85,619",148.4,204.3
27105,Nobles County,All Malignant Cancers,Male,184.2,,120,"56,006",152.3,221.1
27107,Norman County,All Malignant Cancers,Male,219.3,,56,"16,402",164.8,289.1
27109,Olmsted County,All Malignant Cancers,Male,149.3,,610,"378,055",137.5,161.8
27111,Otter Tail County,All Malignant Cancers,Male,165.5,,391,"146,416",149,183.7
27113,Pennington County,All Malignant Cancers,Male,149.8,,65,"35,290",114.9,192.4
27115,Pine County,All Malignant Cancers,Male,203.3,,219,"78,135",176.8,233.2
27117,Pipestone County,All Malignant Cancers,Male,212.7,,69,"22,468",164.7,272
27119,Polk County,All Malignant Cancers,Male,212.7,,201,"79,180",183.8,245.2
27121,Pope County,All Malignant Cancers,Male,153,,66,"28,199",117,198.2
27123,Ramsey County,All Malignant Cancers,Male,174.3,,"2,208","1,326,656",166.9,181.9
27125,Red Lake County,All Malignant Cancers,Male,187.9,,26,"10,166",119.4,284.3
27127,Redwood County,All Malignant Cancers,Male,157,,90,"38,085",125.9,194.5
27129,Renville County,All Malignant Cancers,Male,187.3,,104,"37,199",152.1,229.3
27131,Rice County,All Malignant Cancers,Male,159.4,,280,"168,770",141,179.6
27133,Rock County,All Malignant Cancers,Male,182.6,,61,"23,204",138.9,237.3
27135,Roseau County,All Malignant Cancers,Male,142.8,,66,"39,478",109.6,183.2
27139,Scott County,All Malignant Cancers,Male,160.6,,451,"362,289",145.4,176.9
27141,Sherburne County,All Malignant Cancers,Male,181.5,,353,"242,269",162,202.6
27143,Sibley County,All Malignant Cancers,Male,208,,96,"37,639",167.7,255.5
27137,St. Louis County,All Malignant Cancers,Male,197.3,,"1,264","501,336",186.2,208.9
27145,Stearns County,All Malignant Cancers,Male,176,,734,"399,522",163.3,189.5
27147,Steele County,All Malignant Cancers,Male,154.6,,173,"91,314",132,180.1
27149,Stevens County,All Malignant Cancers,Male,166,,48,"24,492",121.6,222.2
27151,Swift County,All Malignant Cancers,Male,217.6,,74,"23,604",170.2,275.7
27153,Todd County,All Malignant Cancers,Male,167.6,,156,"63,030",141.8,197.4
27155,Traverse County,All Malignant Cancers,Male,208.8,,33,"8,348",142.9,304
27157,Wabasha County,All Malignant Cancers,Male,170,,140,"53,768",142.7,201.8
27159,Wadena County,All Malignant Cancers,Male,216.8,,107,"33,901",177.2,263.6
27161,Waseca County,All Malignant Cancers,Male,153.9,,87,"44,854",122.4,191.5
27163,Washington County,All Malignant Cancers,Male,167.6,,"1,063","633,105",157.3,178.3
27165,Watonwan County,All Malignant Cancers,Male,142.9,,57,"27,208",106.8,188.6
27167,Wilkin County,All Malignant Cancers,Male,227.6,,51,"16,324",168,303.6
27169,Winona County,All Malignant Cancers,Male,180.8,,263,"126,028",159,204.9
27171,Wright County,All Malignant Cancers,Male,173.8,,517,"339,401",158.6,190
27173,Yellow Medicine County,All Malignant Cancers,Male,198.5,,74,"24,761",154.6,252.6
27001,Aitkin County,Acute Myeloid Leukemia,All,3,*,5,"79,137",1,9.8
27003,Anoka County,Acute Myeloid Leukemia,All,3.2,,61,"1,753,197",2.4,4.1
27005,Becker County,Acute Myeloid Leukemia,All,2.7,*,7,"170,136",1.1,6
27007,Beltrami County,Acute Myeloid Leukemia,All,0.7,*,2,"232,108",0.1,2.8
27009,Benton County,Acute Myeloid Leukemia,All,5.3,*,11,"200,857",2.6,9.6
27011,Big Stone County,Acute Myeloid Leukemia,All,6,*,3,"24,939",1.1,24.6
27013,Blue Earth County,Acute Myeloid Leukemia,All,3.2,,13,"334,301",1.7,5.7
27015,Brown County,Acute Myeloid Leukemia,All,2.9,*,7,"125,780",1.1,6.9
27017,Carlton County,Acute Myeloid Leukemia,All,1.2,*,3,"178,177",0.2,3.9
27019,Carver County,Acute Myeloid Leukemia,All,3.2,,16,"509,852",1.8,5.3
27021,Cass County,Acute Myeloid Leukemia,All,3.3,*,9,"146,085",1.5,7.2
27023,Chippewa County,Acute Myeloid Leukemia,All,4.2,*,4,"59,687",1.1,12.4
27025,Chisago County,Acute Myeloid Leukemia,All,5,,15,"276,568",2.8,8.4
27027,Clay County,Acute Myeloid Leukemia,All,2.7,*,9,"317,689",1.2,5.2
27029,Clearwater County,Acute Myeloid Leukemia,All,1.4,*,1,"44,132",0,10.6
27031,Cook County,Acute Myeloid Leukemia,All,2,*,1,"26,837",0.1,19.3
27033,Cottonwood County,Acute Myeloid Leukemia,All,1.2,*,1,"56,582",0,8.7
27035,Crow Wing County,Acute Myeloid Leukemia,All,3.5,,18,"321,484",2,5.9
27037,Dakota County,Acute Myeloid Leukemia,All,2.8,,60,"2,108,793",2.1,3.6
27039,Dodge County,Acute Myeloid Leukemia,All,3.9,*,4,"103,463",1,10
27041,Douglas County,Acute Myeloid Leukemia,All,3.2,*,9,"187,562",1.3,6.8
27043,Faribault County,Acute Myeloid Leukemia,All,4.6,*,5,"69,011",1.4,12.3
27045,Fillmore County,Acute Myeloid Leukemia,All,6.6,*,10,"104,759",3.1,12.9
27047,Freeborn County,Acute Myeloid Leukemia,All,2,*,5,"152,481",0.6,5.5
27049,Goodhue County,Acute Myeloid Leukemia,All,3.3,*,11,"231,417",1.6,6.2
27051,Grant County,Acute Myeloid Leukemia,All,1.8,*,1,"29,650",0,15.7
27053,Hennepin County,Acute Myeloid Leukemia,All,2.7,,173,"6,230,938",2.3,3.1
27055,Houston County,Acute Myeloid Leukemia,All,4.1,*,6,"93,415",1.5,9.9
27057,Hubbard County,Acute Myeloid Leukemia,All,2,*,4,"105,297",0.6,6.6
27059,Isanti County,Acute Myeloid Leukemia,All,3.2,*,7,"196,874",1.2,6.8
27061,Itasca County,Acute Myeloid Leukemia,All,2.5,*,8,"225,900",1,5.5
27063,Jackson County,Acute Myeloid Leukemia,All,2.6,*,2,"49,693",0.3,11.5
27065,Kanabec County,Acute Myeloid Leukemia,All,3.9,*,5,"80,505",1.3,10.4
27067,Kandiyohi County,Acute Myeloid Leukemia,All,3.7,*,10,"214,044",1.8,7.1
27069,Kittson County,Acute Myeloid Leukemia,All,2.9,*,1,"21,556",0.1,23.2
27071,Koochiching County,Acute Myeloid Leukemia,All,4.9,*,6,"62,516",1.8,13.1
27073,Lac qui Parle County,Acute Myeloid Leukemia,All,1.8,*,1,"33,573",0,15.1
27075,Lake County,Acute Myeloid Leukemia,All,4.5,*,3,"52,756",0.7,15.5
27077,Lake of the Woods County,Acute Myeloid Leukemia,All,0,,0,"18,849",0,23.1
27079,Le Sueur County,Acute Myeloid Leukemia,All,1.5,*,3,"141,146",0.3,4.9
27081,Lincoln County,Acute Myeloid Leukemia,All,2.3,*,1,"28,344",0.1,17.3
27083,Lyon County,Acute Myeloid Leukemia,All,3.1,*,5,"129,035",1,7.5
27087,Mahnomen County,Acute Myeloid Leukemia,All,0,,0,"27,495",0,14.1
27089,Marshall County,Acute Myeloid Leukemia,All,3.7,*,3,"46,856",0.8,13.4
27091,Martin County,Acute Myeloid Leukemia,All,1.3,*,3,"99,241",0.3,5.6
27085,McLeod County,Acute Myeloid Leukemia,All,2.3,*,6,"179,038",0.8,5.4
27093,Meeker County,Acute Myeloid Leukemia,All,3,*,5,"115,454",0.9,7.8
27095,Mille Lacs County,Acute Myeloid Leukemia,All,1.9,*,3,"129,150",0.4,6
27097,Morrison County,Acute Myeloid Leukemia,All,4.3,*,10,"165,179",2,8.4
27099,Mower County,Acute Myeloid Leukemia,All,4.1,,12,"199,003",2.1,7.6
27101,Murray County,Acute Myeloid Leukemia,All,3.5,*,1,"41,476",0.1,17.3
27103,Nicollet County,Acute Myeloid Leukemia,All,2.4,*,5,"169,937",0.7,5.8
27105,Nobles County,Acute Myeloid Leukemia,All,0.6,*,1,"108,690",0,4.3
27107,Norman County,Acute Myeloid Leukemia,All,1.2,*,1,"32,617",0,13.2
27109,Olmsted County,Acute Myeloid Leukemia,All,3.5,,32,"774,422",2.4,5
27111,Otter Tail County,Acute Myeloid Leukemia,All,3,,16,"290,878",1.7,5.3
27113,Pennington County,Acute Myeloid Leukemia,All,2.3,*,2,"70,936",0.3,9
27115,Pine County,Acute Myeloid Leukemia,All,3.2,*,7,"145,962",1.3,7.2
27117,Pipestone County,Acute Myeloid Leukemia,All,4.5,*,3,"45,998",0.9,15
27119,Polk County,Acute Myeloid Leukemia,All,4.5,*,10,"157,541",2.1,8.6
27121,Pope County,Acute Myeloid Leukemia,All,0,,0,"55,190",0,7.3
27123,Ramsey County,Acute Myeloid Leukemia,All,3,,88,"2,721,924",2.4,3.7
27125,Red Lake County,Acute Myeloid Leukemia,All,2.5,*,1,"20,005",0.1,22.7
27127,Redwood County,Acute Myeloid Leukemia,All,1.6,*,2,"76,311",0.2,7.2
27129,Renville County,Acute Myeloid Leukemia,All,5.5,*,6,"73,256",1.9,13.2
27131,Rice County,Acute Myeloid Leukemia,All,2.3,*,9,"330,996",1,4.5
27133,Rock County,Acute Myeloid Leukemia,All,0,,0,"47,087",0,8.1
27135,Roseau County,Acute Myeloid Leukemia,All,2.8,*,3,"76,797",0.6,9.3
