FIPS,County,Site,Sex,Rate,Unstable Rate,Count,Pop,Lower CI,Upper CI
27105,Nobles County,All sites,All,468,,613,"108,690",430.6,507.9
27107,Norman County,All sites,All,524.8,,251,"32,617",457.9,599.6
27109,Olmsted County,All sites,All,521.1,,"4,620","774,422",505.9,536.8
27111,Otter Tail County,All sites,All,496.2,,"2,271","290,878",474.3,519
27113,Pennington County,All sites,All,454.7,,410,"70,936",410.1,503.1
27115,Pine County,All sites,All,467.4,,"1,000","145,962",437.6,498.9
27117,Pipestone County,All sites,All,540.1,,352,"45,998",481.8,604
27119,Polk County,All sites,All,512.4,,"1,033","157,541",480.2,546.3
27121,Pope County,All sites,All,464.3,,404,"55,190",416.4,516.9
27123,Ramsey County,All sites,All,481.6,,"14,440","2,721,924",473.6,489.8
27125,Red Lake County,All sites,All,534.9,,150,"20,005",448.2,634.9
27127,Redwood County,All sites,All,472,,519,"76,311",429.9,517.3
27129,Renville County,All sites,All,536.3,,550,"73,256",489.4,586.7
27131,Rice County,All sites,All,465.2,,"1,783","330,996",443.4,488
27133,Rock County,All sites,All,468.5,,307,"47,087",414.9,527.6
27135,Roseau County,All sites,All,467.6,,468,"76,797",424.5,514.1
27139,Scott County,All sites,All,476.4,,"3,320","726,689",459.8,493.5
27141,Sherburne County,All sites,All,479.8,,"2,220","472,706",459.4,500.9
27143,Sibley County,All sites,All,520.2,,515,"74,533",474.4,569.5
27137,St. Louis County,All sites,All,505.5,,"6,882","999,340",493,518.3
27145,Stearns County,All sites,All,444.6,,"3,936","792,969",430.4,459.1
27147,Steele County,All sites,All,479.7,,"1,114","183,583",451,509.8
27149,Stevens County,All sites,All,440.2,,249,"48,973",383.4,503.1
27151,Swift County,All sites,All,452.1,,320,"46,859",400.7,508.8
27153,Todd County,All sites,All,421.4,,763,"122,603",390.3,454.6
27155,Traverse County,All sites,All,590,,159,"16,563",492.5,703.3
27157,Wabasha County,All sites,All,513.5,,803,"107,571",476.5,552.8
27159,Wadena County,All sites,All,485.2,,474,"68,260",439.8,534.3
27161,Waseca County,All sites,All,491.7,,585,"93,673",451.3,534.9
27163,Washington County,All sites,All,504.4,,"7,452","1,280,364",492.7,516.3
27165,Watonwan County,All sites,All,484.6,,361,"54,736",433,541
27167,Wilkin County,All sites,All,559.1,,245,"31,526",488,638.4
27169,Winona County,All sites,All,486.4,,"1,470","254,094",460.7,513.2
27171,Wright County,All sites,All,471.3,,"3,249","672,714",454.9,488.2
27173,Yellow Medicine County,All sites,All,522.1,,383,"49,140",468.1,581.3
27001,Aitkin County,All sites,Female,402.3,,306,"39,128",350.2,461.5
27003,Anoka County,All sites,Female,484.7,,"4,935","876,421",470.9,498.8
27005,Becker County,All sites,Female,481.5,,573,"85,294",440.2,525.8
27007,Beltrami County,All sites,Female,497.3,,669,"116,339",458.6,538.4
27009,Benton County,All sites,Female,410.6,,459,"100,402",372.7,451.4
27011,Big Stone County,All sites,Female,439.6,,101,"12,528",346.8,553.6
27013,Blue Earth County,All sites,Female,456.7,,807,"165,980",424.1,491.1
27015,Brown County,All sites,Female,477.6,,438,"63,055",429.5,530.1
27017,Carlton County,All sites,Female,437.6,,504,"84,870",398.6,479.7
27019,Carver County,All sites,Female,443.9,,"1,207","256,700",418.5,470.4
27021,Cass County,All sites,Female,456.1,,539,"71,464",414.2,501.5
27023,Chippewa County,All sites,Female,506.5,,226,"29,984",437.5,584.1
27025,Chisago County,All sites,Female,475.3,,790,"133,632",441.7,511
27027,Clay County,All sites,Female,503.1,,842,"160,868",468.7,539.4
27029,Clearwater County,All sites,Female,449.9,,136,"21,795",372.3,539.9
27031,Cook County,All sites,Female,464.3,,111,"13,441",370.5,578.9
27033,Cottonwood County,All sites,Female,491.7,,204,"28,371",419.4,573.7
27035,Crow Wing County,All sites,Female,442,,"1,053","161,278",413.5,472.2
27037,Dakota County,All sites,Female,468,,"5,832","1,069,198",455.8,480.5
27039,Dodge County,All sites,Female,479,,284,"51,604",423.7,539.7
27041,Douglas County,All sites,Female,473.4,,670,"93,584",435.1,514.4
27043,Faribault County,All sites,Female,501.5,,254,"34,562",434.6,576.4
27045,Fillmore County,All sites,Female,444.7,,331,"52,150",393.7,500.9
27047,Freeborn County,All sites,Female,454.4,,527,"76,320",412.7,499.5
27049,Goodhue County,All sites,Female,477.3,,773,"116,296",441.9,515
27051,Grant County,All sites,Female,440.2,,103,"14,747",352.7,545.6
27053,Hennepin County,All sites,Female,439.6,,"15,986","3,151,007",432.7,446.7
27055,Houston County,All sites,Female,427.3,,295,"46,781",376.5,483.6
27057,Hubbard County,All sites,Female,453.3,,360,"51,923",402.1,509.7
27059,Isanti County,All sites,Female,502.3,,608,"97,227",461.8,545.4
27061,Itasca County,All sites,Female,481.4,,814,"111,792",445.7,519.4
27063,Jackson County,All sites,Female,433.4,,157,"24,327",361.1,516.8
27065,Kanabec County,All sites,Female,442.5,,260,"39,828",386.9,504.6
27067,Kandiyohi County,All sites,Female,507.4,,703,"106,512",467.9,549.3
27069,Kittson County,All sites,Female,489.6,,81,"10,755",378.5,626.7
27071,Koochiching County,All sites,Female,389.6,,199,"31,214",332.1,455.6
27073,Lac qui Parle County,All sites,Female,388.2,,108,"16,692",307.2,486.4
27075,Lake County,All sites,Female,425.2,,188,"25,827",360.5,499.9
27077,Lake of the Woods County,All sites,Female,412.2,,59,"9,066",303.6,552.1
27079,Le Sueur County,All sites,Female,507.3,,464,"69,999",460.4,557.9
27081,Lincoln County,All sites,Female,588.3,,134,"13,946",476.6,720.2
27083,Lyon County,All sites,Female,478.4,,375,"64,892",428.6,532.5
27087,Mahnomen County,All sites,Female,455.1,,83,"13,651",358.3,571.6
27089,Marshall County,All sites,Female,476.8,,158,"23,125",398.5,567
27091,Martin County,All sites,Female,453.2,,340,"50,054",401,510.7
27085,McLeod County,All sites,Female,442.1,,530,"89,606",403,484.2
27093,Meeker County,All sites,Female,432,,352,"56,668",385.6,482.8
27095,Mille Lacs County,All sites,Female,429.3,,388,"64,283",386.3,476.3
27097,Morrison County,All sites,Female,482.6,,542,"81,746",440.1,528.3
27099,Mower County,All sites,Female,447.4,,586,"99,184",409.6,487.9
27101,Murray County,All sites,Female,440.8,,153,"20,794",366.2,528
27103,Nicollet County,All sites,Female,476,,464,"84,318",431.7,523.8
27105,Nobles County,All sites,Female,416.4,,268,"52,684",365.5,472.6
27107,Norman County,All sites,Female,473.3,,112,"16,215",382.6,580.7
27109,Olmsted County,All sites,Female,499.8,,"2,316","396,367",479,521.3
27111,Otter Tail County,All sites,Female,472.1,,"1,033","144,462",440.5,505.7
27113,Pennington County,All sites,Female,439.2,,200,"35,646",376.9,509.1
27115,Pine County,All sites,Female,433.6,,450,"67,827",392,479
27117,Pipestone County,All sites,Female,505.6,,170,"23,530",426.6,595.9
27119,Polk County,All sites,Female,472.7,,478,"78,361",428.2,520.7
27121,Pope County,All sites,Female,479.9,,197,"26,991",407.8,562
27123,Ramsey County,All sites,Female,451.5,,"7,268","1,395,268",440.8,462.5
27125,Red Lake County,All sites,Female,522.8,,68,"9,839",397.6,677.1
27127,Redwood County,All sites,Female,434.6,,232,"38,226",375.3,501
27129,Renville County,All sites,Female,500.7,,252,"36,057",435.6,573.3
27131,Rice County,All sites,Female,461.9,,892,"162,226",430.8,494.7
27133,Rock County,All sites,Female,432.7,,146,"23,883",360.4,516.4
27135,Roseau County,All sites,Female,419.6,,209,"37,319",361.6,484.8
27139,Scott County,All sites,Female,465.4,,"1,691","364,400",443,488.7
27141,Sherburne County,All sites,Female,435.8,,"1,033","230,437",409,464
27143,Sibley County,All sites,Female,518.1,,254,"36,894",452.3,591.3
27137,St. Louis County,All sites,Female,472.4,,"3,197","498,004",454.9,490.4
27145,Stearns County,All sites,Female,414.6,,"1,862","393,447",395.3,434.6
27147,Steele County,All sites,Female,481,,573,"92,269",440.7,524.2
27149,Stevens County,All sites,Female,412.9,,115,"24,481",331.7,507.8
27151,Swift County,All sites,Female,377.9,,145,"23,255",313.3,453.5
27153,Todd County,All sites,Female,388.2,,338,"59,573",344.9,435.8
27155,Traverse County,All sites,Female,567.9,,67,"8,215",417.8,756.3
27157,Wabasha County,All sites,Female,520.6,,398,"53,803",466.9,579.2
27159,Wadena County,All sites,Female,423.8,,211,"34,359",363.3,492
27161,Waseca County,All sites,Female,487.5,,306,"48,819",432.4,547.9
27163,Washington County,All sites,Female,475,,"3,660","647,259",459.3,491.1
27165,Watonwan County,All sites,Female,470.6,,174,"27,528",398,553.1
27167,Wilkin County,All sites,Female,570.4,,120,"15,202",466.3,692.4
27169,Winona County,All sites,Female,464.6,,708,"128,066",428.9,502.6
27171,Wright County,All sites,Female,447.5,,"1,582","333,313",425.3,470.5
27173,Yellow Medicine County,All sites,Female,396.7,,154,"24,379",332.8,471
27001,Aitkin County,All sites,Male,528.8,,454,"40,009",475.2,588.7
27003,Anoka County,All sites,Male,532.2,,"4,961","876,776",516.7,547.9
27005,Becker County,All sites,Male,555.9,,686,"84,842",513.3,601.4
27007,Beltrami County,All sites,Male,527.5,,668,"115,769",487,570.5
27009,Benton County,All sites,Male,496.7,,509,"100,455",453.4,543.1
27011,Big Stone County,All sites,Male,558.4,,119,"12,411",457.4,679.3
27013,Blue Earth County,All sites,Male,516.9,,840,"168,321",481.5,554.3
27015,Brown County,All sites,Male,579.8,,501,"62,725",528.1,635.5
27017,Carlton County,All sites,Male,538.8,,616,"93,307",496,584.5
27019,Carver County,All sites,Male,497.5,,"1,228","253,152",468.5,527.9
27021,Cass County,All sites,Male,559.5,,729,"74,621",516.4,605.9
27023,Chippewa County,All sites,Male,631,,262,"29,703",553.7,716.9
27025,Chisago County,All sites,Male,500.5,,826,"142,936",465.9,537.2
27027,Clay County,All sites,Male,560.5,,858,"156,821",522.9,600.1
27029,Clearwater County,All sites,Male,500.5,,159,"22,337",423.1,589.3
27031,Cook County,All sites,Male,453.2,,113,"13,396",365.4,560.7
27033,Cottonwood County,All sites,Male,469.8,,201,"28,211",404.5,543.7
27035,Crow Wing County,All sites,Male,591,,"1,420","160,206",559.2,624.3
27037,Dakota County,All sites,Male,544.4,,"5,911","1,039,595",530.1,559
27039,Dodge County,All sites,Male,508.3,,290,"51,859",450.3,571.9
27041,Douglas County,All sites,Male,530.2,,747,"93,978",491.3,571.7
27043,Faribault County,All sites,Male,517.3,,269,"34,449",454.5,587.3
27045,Fillmore County,All sites,Male,510.4,,385,"52,609",459.2,566.3
27047,Freeborn County,All sites,Male,521.4,,576,"76,161",478.1,568.1
27049,Goodhue County,All sites,Male,543.8,,833,"115,121",506.2,583.6
27051,Grant County,All sites,Male,583.1,,135,"14,903",483.2,699.9
27053,Hennepin County,All sites,Male,498.5,,"15,765","3,079,931",490.4,506.6
27055,Houston County,All sites,Male,498.3,,337,"46,634",444,558
27057,Hubbard County,All sites,Male,547.7,,477,"53,374",496.1,604.1
27059,Isanti County,All sites,Male,531.7,,618,"99,647",489.4,576.9
27061,Itasca County,All sites,Male,523.2,,906,"114,108",487.7,560.9
27063,Jackson County,All sites,Male,524.4,,193,"25,366",450,608.9
27065,Kanabec County,All sites,Male,473,,287,"40,677",417.3,535
27067,Kandiyohi County,All sites,Male,506.6,,689,"107,532",468.3,547.4
27069,Kittson County,All sites,Male,466.1,,80,"10,801",363.5,592.9
27071,Koochiching County,All sites,Male,484.6,,267,"31,302",425.1,551.9
27073,Lac qui Parle County,All sites,Male,502,,155,"16,881",423.4,594.7
27075,Lake County,All sites,Male,640.3,,297,"26,929",563,726.8
27077,Lake of the Woods County,All sites,Male,517.3,,83,"9,783",403.4,658.8
27079,Le Sueur County,All sites,Male,501.9,,461,"71,147",455.7,551.9
27081,Lincoln County,All sites,Male,578.8,,124,"14,398",475.9,699.5
27083,Lyon County,All sites,Male,497.5,,350,"64,143",445.5,554
27087,Mahnomen County,All sites,Male,592.3,,103,"13,844",480.4,724.1
27089,Marshall County,All sites,Male,593.4,,209,"23,731",512.7,684.7
27091,Martin County,All sites,Male,513.9,,398,"49,187",462.1,570.6
27085,McLeod County,All sites,Male,526.7,,600,"89,432",484.6,571.6
27093,Meeker County,All sites,Male,518.4,,431,"58,786",468.9,572.1
27095,Mille Lacs County,All sites,Male,558.1,,464,"64,867",507.3,613
27097,Morrison County,All sites,Male,526.7,,591,"83,433",483.7,572.8
27099,Mower County,All sites,Male,483.2,,599,"99,819",444.3,524.8
27101,Murray County,All sites,Male,481.3,,173,"20,682",408.7,565.5
27103,Nicollet County,All sites,Male,500.6,,483,"85,619",455.9,548.7
27105,Nobles County,All sites,Male,528.4,,345,"56,006",473,588.6
27107,Norman County,All sites,Male,589.1,,139,"16,402",491.3,702.5
27109,Olmsted County,All sites,Male,557.9,,"2,304","378,055",534.9,581.6
27111,Otter Tail County,All sites,Male,527.9,,"1,238","146,416",497.2,560.3
27113,Pennington County,All sites,Male,483.6,,210,"35,290",418.7,556.2
27115,Pine County,All sites,Male,509.7,,550,"78,135",466.5,556.2
27117,Pipestone County,All sites,Male,603.4,,182,"22,468",515.6,702.8
27119,Polk County,All sites,Male,571.1,,555,"79,180",523.2,622.4
27121,Pope County,All sites,Male,466.7,,207,"28,199",402,540.1
27123,Ramsey County,All sites,Male,531.4,,"7,172","1,326,656",518.8,544.2
27125,Red Lake County,All sites,Male,549,,82,"10,166",432.8,690.6
27127,Redwood County,All sites,Male,522.4,,287,"38,085",462.1,589.1
27129,Renville County,All sites,Male,584.4,,298,"37,199",516.8,659.1
27131,Rice County,All sites,Male,481.8,,891,"168,770",450.1,515.3
27133,Rock County,All sites,Male,518.1,,161,"23,204",438.9,608.6
27135,Roseau County,All sites,Male,531.6,,259,"39,478",466.5,603.8
27139,Scott County,All sites,Male,494.5,,"1,629","362,289",469.4,520.4
27141,Sherburne County,All sites,Male,538.9,,"1,187","242,269",507,572.2
27143,Sibley County,All sites,Male,536.9,,261,"37,639",471.9,608.8
27137,St. Louis County,All sites,Male,554.1,,"3,685","501,336",535.5,573.1
27145,Stearns County,All sites,Male,482.9,,"2,074","399,522",461.9,504.7
27147,Steele County,All sites,Male,479.5,,541,"91,314",438.9,523.1
27149,Stevens County,All sites,Male,485.2,,134,"24,492",404,578.5
27151,Swift County,All sites,Male,538.9,,175,"23,604",458.5,630.4
27153,Todd County,All sites,Male,459.1,,425,"63,030",414.5,507.7
27155,Traverse County,All sites,Male,632.5,,92,"8,348",507.8,785.6
27157,Wabasha County,All sites,Male,513.2,,405,"53,768",462.4,568.7
27159,Wadena County,All sites,Male,562.2,,263,"33,901",493.8,638.1
27161,Waseca County,All sites,Male,494.4,,279,"44,854",435.9,558.9
27163,Washington County,All sites,Male,546.6,,"3,792","633,105",528.7,565
27165,Watonwan County,All sites,Male,505.3,,187,"27,208",432.6,587.5
27167,Wilkin County,All sites,Male,558.9,,125,"16,324",462,672
27169,Winona County,All sites,Male,524.2,,762,"126,028",486.3,564.4
27171,Wright County,All sites,Male,505.1,,"1,667","339,401",480.3,530.8
27173,Yellow Medicine County,All sites,Male,662,,229,"24,761",574.8,759.6
27001,Aitkin County,Acute Myeloid Leukemia,All,2.6,*,5,"79,137",0.8,9.1
27003,Anoka County,Acute Myeloid Leukemia,All,6.4,,122,"1,753,197",5.2,7.6
27005,Becker County,Acute Myeloid Leukemia,All,5.6,,14,"170,136",3,9.9
27007,Beltrami County,Acute Myeloid Leukemia,All,4.9,*,12,"232,108",2.4,8.8
27009,Benton County,Acute Myeloid Leukemia,All,7.8,,16,"200,857",4.4,12.7
27011,Big Stone County,Acute Myeloid Leukemia,All,6,*,3,"24,939",1.1,24.6
27013,Blue Earth County,Acute Myeloid Leukemia,All,4.3,,16,"334,301",2.4,7.1
27015,Brown County,Acute Myeloid Leukemia,All,6.4,,13,"125,780",3.3,11.8
27017,Carlton County,Acute Myeloid Leukemia,All,3.6,*,8,"178,177",1.6,7.4
27019,Carver County,Acute Myeloid Leukemia,All,5.7,,27,"509,852",3.7,8.4
27021,Cass County,Acute Myeloid Leukemia,All,5.2,,15,"146,085",2.9,9.4
27023,Chippewa County,Acute Myeloid Leukemia,All,3.3,*,3,"59,687",0.7,11.3
27025,Chisago County,Acute Myeloid Leukemia,All,7.4,,23,"276,568",4.6,11.2
27027,Clay County,Acute Myeloid Leukemia,All,5.9,,18,"317,689",3.4,9.3
27029,Clearwater County,Acute Myeloid Leukemia,All,1.4,*,1,"44,132",0,10.8
27031,Cook County,Acute Myeloid Leukemia,All,0,,0,"26,837",0,16.9
27033,Cottonwood County,Acute Myeloid Leukemia,All,4.4,*,4,"56,582",1.2,13
27035,Crow Wing County,Acute Myeloid Leukemia,All,4,,21,"321,484",2.4,6.4
27037,Dakota County,Acute Myeloid Leukemia,All,4.8,,104,"2,108,793",3.9,5.8
27039,Dodge County,Acute Myeloid Leukemia,All,4.3,*,5,"103,463",1.4,10.2
27041,Douglas County,Acute Myeloid Leukemia,All,3.3,*,10,"187,562",1.5,6.6
27043,Faribault County,Acute Myeloid Leukemia,All,8.5,*,8,"69,011",3.4,18.2
27045,Fillmore County,Acute Myeloid Leukemia,All,9.3,,13,"104,759",4.7,16.7
27047,Freeborn County,Acute Myeloid Leukemia,All,3.6,*,8,"152,481",1.5,7.7
27049,Goodhue County,Acute Myeloid Leukemia,All,4.4,,15,"231,417",2.4,7.5
27051,Grant County,Acute Myeloid Leukemia,All,5.5,*,2,"29,650",0.5,22.6
27053,Hennepin County,Acute Myeloid Leukemia,All,4.7,,309,"6,230,938",4.1,5.2
27055,Houston County,Acute Myeloid Leukemia,All,3.8,*,6,"93,415",1.3,9.4
27057,Hubbard County,Acute Myeloid Leukemia,All,4.7,*,10,"105,297",2.2,9.9
27059,Isanti County,Acute Myeloid Leukemia,All,4.4,*,10,"196,874",2,8.4
27061,Itasca County,Acute Myeloid Leukemia,All,2.8,*,9,"225,900",1.2,5.9
27063,Jackson County,Acute Myeloid Leukemia,All,4,*,3,"49,693",0.8,13.6
27065,Kanabec County,Acute Myeloid Leukemia,All,6.8,*,10,"80,505",3.2,13.8
27067,Kandiyohi County,Acute Myeloid Leukemia,All,7.6,,22,"214,044",4.7,11.7
27069,Kittson County,Acute Myeloid Leukemia,All,0,,0,"21,556",0,19.3
27071,Koochiching County,Acute Myeloid Leukemia,All,8.7,*,10,"62,516",4.1,18
27073,Lac qui Parle County,Acute Myeloid Leukemia,All,1.8,*,1,"33,573",0,15.1
27075,Lake County,Acute Myeloid Leukemia,All,5.5,*,4,"52,756",1.2,16.7
27077,Lake of the Woods County,Acute Myeloid Leukemia,All,2,*,1,"18,849",0,25.1
27079,Le Sueur County,Acute Myeloid Leukemia,All,4.8,*,9,"141,146",2.1,9.7
27081,Lincoln County,Acute Myeloid Leukemia,All,15.6,*,6,"28,344",5.2,37.4
27083,Lyon County,Acute Myeloid Leukemia,All,4.3,*,6,"129,035",1.5,9.6
27087,Mahnomen County,Acute Myeloid Leukemia,All,0,,0,"27,495",0,14.1
27089,Marshall County,Acute Myeloid Leukemia,All,2.8,*,2,"46,856",0.3,12.4
27091,Martin County,Acute Myeloid Leukemia,All,6.8,*,8,"99,241",2.6,14.4
27085,McLeod County,Acute Myeloid Leukemia,All,3.2,*,8,"179,038",1.4,6.7
27093,Meeker County,Acute Myeloid Leukemia,All,5.8,*,9,"115,454",2.5,11.7
27095,Mille Lacs County,Acute Myeloid Leukemia,All,5,*,8,"129,150",2.1,10.2
27097,Morrison County,Acute Myeloid Leukemia,All,7,,14,"165,179",3.6,12.3
27099,Mower County,Acute Myeloid Leukemia,All,4.4,,13,"199,003",2.3,7.8
27101,Murray County,Acute Myeloid Leukemia,All,1.4,*,1,"41,476",0,11.8
27103,Nicollet County,Acute Myeloid Leukemia,All,4.2,*,9,"169,937",1.9,8.3
27105,Nobles County,Acute Myeloid Leukemia,All,2.8,*,3,"108,690",0.6,8.1
27107,Norman County,Acute Myeloid Leukemia,All,1.2,*,1,"32,617",0,13.2
27109,Olmsted County,Acute Myeloid Leukemia,All,4.6,,40,"774,422",3.3,6.3
27111,Otter Tail County,Acute Myeloid Leukemia,All,5,,23,"290,878",3.1,7.9
27113,Pennington County,Acute Myeloid Leukemia,All,7.1,*,7,"70,936",2.8,15.5
27115,Pine County,Acute Myeloid Leukemia,All,4.9,*,9,"145,962",2.1,9.9
27117,Pipestone County,Acute Myeloid Leukemia,All,6.4,*,4,"45,998",1.7,18
27119,Polk County,Acute Myeloid Leukemia,All,7.2,,16,"157,541",4.1,12.1
27121,Pope County,Acute Myeloid Leukemia,All,0.8,*,1,"55,190",0,8.3
27123,Ramsey County,Acute Myeloid Leukemia,All,5.5,,158,"2,721,924",4.6,6.4
27125,Red Lake County,Acute Myeloid Leukemia,All,3.1,*,1,"20,005",0.1,24
27127,Redwood County,Acute Myeloid Leukemia,All,4.2,*,5,"76,311",1.3,10.9
27129,Renville County,Acute Myeloid Leukemia,All,10.3,*,10,"73,256",4.6,20.2
27131,Rice County,Acute Myeloid Leukemia,All,2.5,*,10,"330,996",1.2,4.7
27133,Rock County,Acute Myeloid Leukemia,All,0,,0,"47,087",0,8.1
27135,Roseau County,Acute Myeloid Leukemia,All,6.8,*,7,"76,797",2.5,15.2
27139,Scott County,Acute Myeloid Leukemia,All,5.5,,35,"726,689",3.8,7.7
27141,Sherburne County,Acute Myeloid Leukemia,All,6.7,,29,"472,706",4.4,9.7
27143,Sibley County,Acute Myeloid Leukemia,All,2.3,*,3,"74,533",0.5,8.3
27137,St. Louis County,Acute Myeloid Leukemia,All,6,,83,"999,340",4.7,7.6
27145,Stearns County,Acute Myeloid Leukemia,All,4.4,,38,"792,969",3.1,6
27147,Steele County,Acute Myeloid Leukemia,All,3.8,*,8,"183,583",1.5,7.7
27149,Stevens County,Acute Myeloid Leukemia,All,6.8,*,4,"48,973",1.9,18.7
27151,Swift County,Acute Myeloid Leukemia,All,12.5,*,8,"46,859",4.7,27.1
27153,Todd County,Acute Myeloid Leukemia,All,7,*,10,"122,603",3.1,13.7
27155,Traverse County,Acute Myeloid Leukemia,All,3.4,*,2,"16,563",0.4,28.1
27157,Wabasha County,Acute Myeloid Leukemia,All,6.2,*,10,"107,571",3,12.2
27159,Wadena County,Acute Myeloid Leukemia,All,2.7,*,3,"68,260",0.6,9.5
27161,Waseca County,Acute Myeloid Leukemia,All,7.2,*,9,"93,673",3.3,14.4
27163,Washington County,Acute Myeloid Leukemia,All,5.4,,73,"1,280,364",4.2,6.8
27165,Watonwan County,Acute Myeloid Leukemia,All,3.8,*,3,"54,736",0.8,12.6
27167,Wilkin County,Acute Myeloid Leukemia,All,10.4,*,4,"31,526",2.6,28.6
27169,Winona County,Acute Myeloid Leukemia,All,6.7,,20,"254,094",4,10.7
27171,Wright County,Acute Myeloid Leukemia,All,4.8,,32,"672,714",3.2,6.8
27173,Yellow Medicine County,Acute Myeloid Leukemia,All,10.4,*,8,"49,140",4.2,22.6
27001,Aitkin County,Acute Myeloid Leukemia,Female,2.5,*,2,"39,128",0.3,15.6
27003,Anoka County,Acute Myeloid Leukemia,Female,6.1,,62,"876,421",4.7,7.9
27005,Becker County,Acute Myeloid Leukemia,Female,3.6,*,5,"85,294",1.1,9.5
27007,Beltrami County,Acute Myeloid Leukemia,Female,3.6,*,4,"116,339",0.9,9.5
27009,Benton County,Acute Myeloid Leukemia,Female,5.6,*,6,"100,402",2,12.4
27011,Big Stone County,Acute Myeloid Leukemia,Female,0,,0,"12,528",0,34.5
27013,Blue Earth County,Acute Myeloid Leukemia,Female,3.4,*,7,"165,980",1.2,7.8
27015,Brown County,Acute Myeloid Leukemia,Female,3.6,*,3,"63,055",0.5,12.4
27017,Carlton County,Acute Myeloid Leukemia,Female,4.8,*,5,"84,870",1.5,11.7
27019,Carver County,Acute Myeloid Leukemia,Female,4.5,*,11,"256,700",2.2,8.2
27021,Cass County,Acute Myeloid Leukemia,Female,3.1,*,5,"71,464",1,9.7
27023,Chippewa County,Acute Myeloid Leukemia,Female,0,,0,"29,984",0,13
27025,Chisago County,Acute Myeloid Leukemia,Female,5.7,*,9,"133,632",2.6,11.2
